i	488.67	1024
h 0	488.71	778
h 0	488.858	432
i	489.074	1025
h 0	489.462	830
h 0	489.607	945
h 0	489.887	254
i	490.917	1028
h 0	492.313	967
i	493.114	1031
h 0	494.731	859
h 0	494.942	922
i	494.95	1034
i	495.129	1035
i	495.254	1036
h 0	499.807	991
i	500.464	1044
i	502.428	1047
h 0	502.553	666
i	502.891	1048
t 0	503.256	467
h 0	504.569	993
i	504.582	1051
h 0	505.423	935
i	505.764	1053
i	506.004	1054
i	506.126	1055
h 0	506.34	918
h 0	506.426	801
h 0	506.488	820
h 0	506.57	1044
h 0	507.619	577
i	507.94	1058
i	508.21	1059
h 0	509.378	795
h 0	509.645	1058
i	510.512	1063
i	510.826	1064
h 0	511.035	997
i	511.793	1067
h 0	512.938	1015
i	513.124	1069
h 0	513.458	804
i	514.121	1071
h 0	514.178	1024
i	514.568	1072
h 0	518.007	1020
h 0	518.614	676
i	519.04	1079
i	519.841	1081
i	520.09	1083
i	520.225	1084
h 0	520.455	1009
i	522.073	1087
h 0	522.861	1051
i	525.793	1094
i	525.966	1095
i	526.143	1096
h 0	526.201	494
i	526.528	1097
h 0	526.972	868
h 0	527.641	50
i	528.6	1101
h 0	529.554	662
i	531.202	1107
h 0	531.269	684
i	531.457	1108
i	531.865	1109
h 0	532.305	253
i	533.494	1112
h 0	533.712	1064
h 0	533.995	904
h 0	534.177	882
i	534.213	1115
i	534.53	1116
i	534.762	1117
i	535.869	1119
h 0	536.152	832
h 0	536.885	797
h 0	536.94	396
h 0	537.122	973
h 0	537.932	968
i	537.984	1122
h 0	539.206	836
i	539.77	1125
i	540.009	1127
h 0	540.135	1092
h 0	540.55	883
h 0	540.857	1035
i	541.222	1130
h 0	541.369	175
i	541.507	1131
i	541.808	1132
h 0	541.971	698
i	542.067	1133
h 0	542.66	860
h 0	542.676	960
h 0	542.995	1054
i	545.006	1137
h 0	546.363	998
h 0	548.649	551
h 0	549.001	1053
h 0	549.012	989
h 0	549.04	1076
h 0	549.298	1108
i	549.705	1144
h 0	549.73	886
i	550.012	1145
i	550.885	1147
h 0	550.909	821
h 0	551.278	709
h 0	551.718	432
h 0	552.15	945
i	552.185	1150
i	552.656	1151
h 0	552.867	1116
h 0	553.541	1006
i	553.758	1154
i	554.049	1155
i	554.749	1157
h 0	555.102	217
i	555.185	1158
h 0	555.431	1081
i	555.544	1159
i	555.803	1160
h 0	556.173	590
i	556.223	1161
h 0	556.321	1036
i	556.485	1162
h 0	556.514	717
h 0	556.606	1150
h 0	557.148	929
i	557.755	1166
h 0	558.363	982
i	558.898	1168
h 0	559.339	1012
h 0	559.589	1084
i	559.976	1170
i	561.694	1173
h 0	565.469	1162
h 0	565.643	967
i	565.852	1181
i	566.173	1182
i	567.592	1185
t 0	568.154	590
h 0	568.253	1160
i	569.719	1190
h 0	571.801	991
h 0	572.1	1094
i	572.629	1195
i	572.926	1196
h 0	573.047	1168
i	573.055	1197
h 0	573.081	1079
i	573.462	1198
h 0	574.931	1149
i	574.943	1202
h 0	576.005	577
h 0	576.135	676
h 0	577.838	820
i	577.973	1208
h 0	578.487	935
h 0	579.472	1129
h 0	580.083	1059
h 0	580.135	795
i	580.334	1212
i	580.731	1213
i	580.904	1214
h 0	581.033	1125
h 0	581.336	1117
h 0	581.564	802
h 0	581.813	1126
i	582.133	1217
i	582.275	1218
t 0	582.914	804
h 0	582.953	1154
h 0	583.096	1144
h 0	583.279	1024
h 0	584.246	1009
h 0	584.885	1015
h 0	585.837	494
i	586.451	1225
i	586.626	1226
i	587.015	1227
h 0	587.24	1213
h 0	588.453	1115
i	589.015	1230
i	590.379	1232
h 0	592.776	684
h 0	592.801	1017
h 0	592.839	882
h 0	593.632	253
i	593.742	1237
i	597.419	1244
i	598.573	1246
h 0	599.787	396
h 0	601.131	904
h 0	601.901	1155
h 0	603.733	1227
h 0	604.118	883
h 0	605.749	743
t 0	606.285	836
t 0	606.995	551
i	607.197	1260
h 0	608.236	1202
h 0	608.37	891
i	608.826	1265
h 0	609.037	1157
i	610.012	1268
h 0	611.15	860
h 0	612.122	1230
i	612.769	1272
h 0	612.815	960
h 0	612.946	698
i	613.056	1275
h 0	613.255	1196
i	614.074	1279
h 0	614.577	432
h 0	614.693	945
h 0	615.432	1076
h 0	617.167	998
h 0	618.585	1232
h 0	619.283	1220
i	619.35	1288
h 0	619.592	1053
i	620.415	1290
h 0	620.891	1006
t 0	621.336	698
i	621.619	1292
